Job_Title,Date,Company,Apply,Remote,Account,Refill,Status,Reason
Senior Software Engineer - Web Developer,3/26/2023,Tickets.com,Yes,Hybrid,No,No,REJECTED,JOB DELETED
Senior React Developer I,3/26/2023,Edify,No,Hybrid,No,No,REJECTED,NO REASON
React Developer,3/27/2023,Genpact,No,No,Yes,No,APPLIED,
Entry Level Web Developer,3/27/2023,PageHub,Yes,No,No,No,REJECTED,NO REASON
Web Developer,3/27/2023,Coaster Company of America,Yes,No,No,No,APPLIED,
Front End Software Engineer,3/27/2023,Surpath Inc.,Yes,No,No,No,APPLIED,
Web Developer,4/17/2023,Crescendo Interactive,Yes,Hybrid,No,No,APPLIED,
Frontend Developer (React),4/17/2023,Cedars-Sinai,No,Yes,Yes,Yes,APPLIED,
Reacct & React Native Developer (USA Only),4/17/2023,Kepler Coatings,Yes,Yes,No,No,APPLIED,
Senior Frontend Engineer at Series B Startup,4/17/2023,Recruiting From Scratch,Yes,Yes,No,No,APPLIED,
Senior .Net Developer,4/17/2023,Strategic Employment,Yes,Hybrid,No,No,APPLIED,
Web Developer - Cannabis Industry,4/17/2023,IGS Solutions LLC,Yes,No,No,No,APPLIED,
Full Stack Developer,4/17/2023,Voluware Inc. ,Yes,No,No,No,APPLIED,
Web Designer / Developer,4/17/2023,Simple Science Inc.,Yes,No,No,No,APPLIED,
Entry Level Software Developer,4/17/2023,Property Matrix,No,No,No,No,APPLIED,
Software Tester,4/17/2023,InVia Robotics,Yes,No,No,No,APPLIED,
